,Date,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend)
374,2016-11-11 00:00:00,73,2,0,0,1,0,0,0,3
375,2016-11-12 00:00:00,85,0,0,0,1,0,0,0,1
376,2016-11-13 00:00:00,86,0,0,0,1,0,0,0,1
377,2016-11-14 00:00:00,78,2,0,0,1,0,0,0,2
378,2016-11-15 00:00:00,73,0,0,0,1,0,0,0,2
379,2016-11-16 00:00:00,79,0,0,1,1,0,0,0,2
380,2016-11-17 00:00:00,78,0,0,0,1,0,0,0,2
381,2016-11-18 00:00:00,90,2,0,1,1,0,0,0,2
382,2016-11-19 00:00:00,68,0,0,0,1,0,0,0,1
383,2016-11-20 00:00:00,85,0,0,0,1,0,0,0,0
384,2016-11-21 00:00:00,64,0,1,1,1,0,0,0,2
385,2016-11-22 00:00:00,72,0,0,1,1,0,0,0,3
386,2016-11-23 00:00:00,75,0,0,0,1,0,0,0,2
387,2016-11-24 00:00:00,81,0,0,0,1,0,0,0,1
388,2016-11-25 00:00:00,64,0,1,0,1,0,0,0,1
389,2016-11-26 00:00:00,80,0,1,0,1,0,0,0,1
390,2016-11-27 00:00:00,71,0,0,0,1,0,0,0,0
391,2016-11-28 00:00:00,87,0,0,0,1,0,0,0,2
392,2016-11-29 00:00:00,64,3,1,0,1,0,0,0,2
393,2016-11-30 00:00:00,99,0,0,0,1,0,0,0,2
394,2016-12-01 00:00:00,90,3,0,0,1,0,0,0,2
395,2016-12-02 00:00:00,84,7,1,1,1,0,0,0,2
396,2016-12-03 00:00:00,71,0,1,0,1,0,0,0,1
397,2016-12-04 00:00:00,79,0,0,0,1,0,0,0,1
398,2016-12-05 00:00:00,78,2,1,1,1,0,0,0,2
399,2016-12-06 00:00:00,86,2,1,0,1,0,0,0,2
400,2016-12-07 00:00:00,82,0,0,0,1,0,0,0,2
401,2016-12-08 00:00:00,84,0,0,1,1,0,0,0,2
402,2016-12-09 00:00:00,68,0,0,1,1,0,0,0,2
403,2016-12-10 00:00:00,62,0,0,0,1,0,0,0,1
